SIDO_NM,CCG_NM,LAWD_CD,LON,LAT,N_STORES
전북특별자치도,진안군,52720,127.4229916020596,35.80787295033713,1242
제주특별자치도,서귀포시,50130,126.55689325888353,33.28224938581369,16679
제주특별자치도,제주시,50110,126.5070613405072,33.48677505035596,42330
충청남도,계룡시,44250,127.24543441146068,36.28118631732148,1810
충청남도,공주시,44150,127.12284102234639,36.46413050245821,6861
충청남도,금산군,44710,127.48073187988051,36.12314033092353,3683
충청남도,논산시,44230,127.10472018936386,36.187224283031014,7221
충청남도,당진시,44270,126.675763202712,36.902705758771305,9921
충청남도,보령시,44180,126.57607421520201,36.342305520893326,6950
충청남도,부여군,44760,126.88859636753753,36.26814748414127,3375
충청남도,서산시,44210,126.46006274289732,36.79090975901202,9436
충청남도,서천군,44770,126.67414400712268,36.07619396840585,3223
충청남도,아산시,44200,127.02448525263111,36.800785659588335,16826
충청남도,예산군,44810,126.78002162386139,36.68420415898709,4890
충청남도,천안시 동남구,44131,127.16240864430438,36.793274271045476,15133
충청남도,천안시 서북구,44133,127.13225948976653,36.83325479334384,22116
충청남도,청양군,44790,126.8335496414705,36.43741306246559,1733
충청남도,태안군,44825,126.28760828758949,36.68595447846632,5318
충청남도,홍성군,44800,126.64748803892985,36.594906166968315,6093
충청북도,괴산군,43760,127.81359746870295,36.77890324302488,2103
충청북도,단양군,43800,128.36858905704102,36.990847734833224,2210
충청북도,보은군,43720,127.73546613815445,36.488251873139845,1966
충청북도,영동군,43740,127.80184214904897,36.17971743221116,2580
충청북도,옥천군,43730,127.59446890515625,36.30543699148118,2878
충청북도,음성군,43770,127.581674454926,36.97358041818056,6817
충청북도,제천시,43150,128.19889114909446,37.12836452774834,8611
충청북도,증평군,43745,127.58243642445787,36.783905039245845,2084
충청북도,진천군,43750,127.46000664815759,36.89224469645286,4962
충청북도,청주시 상당구,43111,127.5091649924035,36.62096357342672,10706
충청북도,청주시 서원구,43112,127.46763054246394,36.613774948918135,9975
충청북도,청주시 청원구,43114,127.47628861898937,36.68662655531602,9838
충청북도,청주시 흥덕구,43113,127.42370624591823,36.635736902316765,15887
충청북도,충주시,43130,127.91430796635686,36.982224246048,13114
